feature,readable_feature,coefficient,abs_coefficient,direction,coefficient_meaning,insight_group,business_meaning,expected_direction,stage3_evidence
categorical__pin_verif_method_ONLINE_PIN,pin_verif_method=ONLINE_PIN,-0.1607318643060539,0.1607318643060539,decrease_risk,Làm giảm log-odds fraud risk,Payment / authentication context,"Ngữ cảnh thanh toán, xác thực, kênh giao dịch và phương thức nhập thẻ.","Một số kênh/xác thực làm tăng hoặc giảm risk tùy ngữ cảnh, nhưng thường không mạnh bằng behavioral anomaly.","Giai đoạn 3 cho thấy card_not_present đứng riêng không quá mạnh, nhưng có thể mạnh hơn khi đi cùng behavior anomaly."
categorical__recurring_flag_RECURRING_SUBSCRIPTION,recurring_flag=RECURRING_SUBSCRIPTION,-0.1520131903063026,0.1520131903063026,decrease_risk,Làm giảm log-odds fraud risk,Payment / authentication context,"Ngữ cảnh thanh toán, xác thực, kênh giao dịch và phương thức nhập thẻ.","Một số kênh/xác thực làm tăng hoặc giảm risk tùy ngữ cảnh, nhưng thường không mạnh bằng behavioral anomaly.","Giai đoạn 3 cho thấy card_not_present đứng riêng không quá mạnh, nhưng có thể mạnh hơn khi đi cùng behavior anomaly."
categorical__night_ratio_group_low,night_ratio_group=low,-0.1471742544756549,0.1471742544756549,decrease_risk,Làm giảm log-odds fraud risk,Time behavior anomaly,"Hành vi giao dịch theo thời gian, đặc biệt là giao dịch ban đêm so với lịch sử của user.",night_ratio_30d cao thường giảm risk vì user quen giao dịch ban đêm; night transaction hoặc low_night_ratio interaction có thể tăng risk.,Giai đoạn 3 cho thấy low_night_ratio và night_unusual có lift cao trên train và validation.
categorical__merchant_country_KR,merchant_country=KR,-0.1448995325368881,0.1448995325368881,decrease_risk,Làm giảm log-odds fraud risk,Country / cross-border behavior,Hành vi giao dịch theo quốc gia và mức độ đa dạng quốc gia của user.,distinct_countries_30d cao thường giảm risk; low_country_diversity hoặc cross-border interaction có thể tăng risk.,Giai đoạn 3 cho thấy low_country_diversity là segment có lift cao.
binary__card_not_present_flag,card_not_present_flag,0.1441546124061566,0.1441546124061566,increase_risk,Làm tăng log-odds fraud risk,Payment / authentication context,"Ngữ cảnh thanh toán, xác thực, kênh giao dịch và phương thức nhập thẻ.","Một số kênh/xác thực làm tăng hoặc giảm risk tùy ngữ cảnh, nhưng thường không mạnh bằng behavioral anomaly.","Giai đoạn 3 cho thấy card_not_present đứng riêng không quá mạnh, nhưng có thể mạnh hơn khi đi cùng behavior anomaly."
categorical__night_ratio_group_high,night_ratio_group=high,-0.1438921478762796,0.1438921478762796,decrease_risk,Làm giảm log-odds fraud risk,Time behavior anomaly,"Hành vi giao dịch theo thời gian, đặc biệt là giao dịch ban đêm so với lịch sử của user.",night_ratio_30d cao thường giảm risk vì user quen giao dịch ban đêm; night transaction hoặc low_night_ratio interaction có thể tăng risk.,Giai đoạn 3 cho thấy low_night_ratio và night_unusual có lift cao trên train và validation.
categorical__message_type_0200-FinReq,message_type=0200-FinReq,0.1426190041017955,0.1426190041017955,increase_risk,Làm tăng log-odds fraud risk,Payment / authentication context,"Ngữ cảnh thanh toán, xác thực, kênh giao dịch và phương thức nhập thẻ.","Một số kênh/xác thực làm tăng hoặc giảm risk tùy ngữ cảnh, nhưng thường không mạnh bằng behavioral anomaly.","Giai đoạn 3 cho thấy card_not_present đứng riêng không quá mạnh, nhưng có thể mạnh hơn khi đi cùng behavior anomaly."
categorical__txn_velocity_group_very_low,txn_velocity_group=very_low,-0.1407443231982562,0.1407443231982562,decrease_risk,Làm giảm log-odds fraud risk,Transaction velocity,Tốc độ/tần suất giao dịch gần đây của user.,"Velocity bất thường có thể hỗ trợ phát hiện fraud, nhưng cần kiểm tra cùng các tín hiệu khác.",Giai đoạn 3 khuyến nghị giữ txn_count_ratio_7d_30d như behavioral anomaly feature.
categorical__currency_VND,currency=VND,-0.1406738787744852,0.1406738787744852,decrease_risk,Làm giảm log-odds fraud risk,Payment / authentication context,"Ngữ cảnh thanh toán, xác thực, kênh giao dịch và phương thức nhập thẻ.","Một số kênh/xác thực làm tăng hoặc giảm risk tùy ngữ cảnh, nhưng thường không mạnh bằng behavioral anomaly.","Giai đoạn 3 cho thấy card_not_present đứng riêng không quá mạnh, nhưng có thể mạnh hơn khi đi cùng behavior anomaly."
categorical__term_location_KIOSK,term_location=KIOSK,-0.1391888093531453,0.1391888093531453,decrease_risk,Làm giảm log-odds fraud risk,Payment / authentication context,"Ngữ cảnh thanh toán, xác thực, kênh giao dịch và phương thức nhập thẻ.","Một số kênh/xác thực làm tăng hoặc giảm risk tùy ngữ cảnh, nhưng thường không mạnh bằng behavioral anomaly.","Giai đoạn 3 cho thấy card_not_present đứng riêng không quá mạnh, nhưng có thể mạnh hơn khi đi cùng behavior anomaly."
categorical__credit_util_risk_group_low,credit_util_risk_group=low,-0.1384619437505179,0.1384619437505179,decrease_risk,Làm giảm log-odds fraud risk,Risk history / technical risk,"Các tín hiệu lịch sử rủi ro hoặc tín hiệu kỹ thuật như IP risk, decline rate, chargeback.","Một số tín hiệu kỹ thuật đứng riêng có thể yếu, nhưng vẫn hỗ trợ model khi kết hợp với feature khác.",Giai đoạn 3 cho thấy một số biến kỹ thuật đứng riêng không mạnh bằng behavior interaction.
numeric__ip_score,ip_score,-0.1374376059504335,0.1374376059504335,decrease_risk,Làm giảm log-odds fraud risk,Risk history / technical risk,"Các tín hiệu lịch sử rủi ro hoặc tín hiệu kỹ thuật như IP risk, decline rate, chargeback.","Một số tín hiệu kỹ thuật đứng riêng có thể yếu, nhưng vẫn hỗ trợ model khi kết hợp với feature khác.",Giai đoạn 3 cho thấy một số biến kỹ thuật đứng riêng không mạnh bằng behavior interaction.
categorical__card_entry_mode_MANUAL_KEYED,card_entry_mode=MANUAL_KEYED,-0.1312584579613211,0.1312584579613211,decrease_risk,Làm giảm log-odds fraud risk,Payment / authentication context,"Ngữ cảnh thanh toán, xác thực, kênh giao dịch và phương thức nhập thẻ.","Một số kênh/xác thực làm tăng hoặc giảm risk tùy ngữ cảnh, nhưng thường không mạnh bằng behavioral anomaly.","Giai đoạn 3 cho thấy card_not_present đứng riêng không quá mạnh, nhưng có thể mạnh hơn khi đi cùng behavior anomaly."
categorical__recurring_flag_INSTALLMENT_PLAN,recurring_flag=INSTALLMENT_PLAN,-0.1294433554483705,0.1294433554483705,decrease_risk,Làm giảm log-odds fraud risk,Payment / authentication context,"Ngữ cảnh thanh toán, xác thực, kênh giao dịch và phương thức nhập thẻ.","Một số kênh/xác thực làm tăng hoặc giảm risk tùy ngữ cảnh, nhưng thường không mạnh bằng behavioral anomaly.","Giai đoạn 3 cho thấy card_not_present đứng riêng không quá mạnh, nhưng có thể mạnh hơn khi đi cùng behavior anomaly."
categorical__merchant_country_DE,merchant_country=DE,-0.1271722625133313,0.1271722625133313,decrease_risk,Làm giảm log-odds fraud risk,Country / cross-border behavior,Hành vi giao dịch theo quốc gia và mức độ đa dạng quốc gia của user.,distinct_countries_30d cao thường giảm risk; low_country_diversity hoặc cross-border interaction có thể tăng risk.,Giai đoạn 3 cho thấy low_country_diversity là segment có lift cao.
categorical__currency_THB,currency=THB,-0.1255528412626659,0.1255528412626659,decrease_risk,Làm giảm log-odds fraud risk,Payment / authentication context,"Ngữ cảnh thanh toán, xác thực, kênh giao dịch và phương thức nhập thẻ.","Một số kênh/xác thực làm tăng hoặc giảm risk tùy ngữ cảnh, nhưng thường không mạnh bằng behavioral anomaly.","Giai đoạn 3 cho thấy card_not_present đứng riêng không quá mạnh, nhưng có thể mạnh hơn khi đi cùng behavior anomaly."
categorical__auth_characteristics_MOBILE_TOKEN,auth_characteristics=MOBILE_TOKEN,-0.1243437706995781,0.1243437706995781,decrease_risk,Làm giảm log-odds fraud risk,Payment / authentication context,"Ngữ cảnh thanh toán, xác thực, kênh giao dịch và phương thức nhập thẻ.","Một số kênh/xác thực làm tăng hoặc giảm risk tùy ngữ cảnh, nhưng thường không mạnh bằng behavioral anomaly.","Giai đoạn 3 cho thấy card_not_present đứng riêng không quá mạnh, nhưng có thể mạnh hơn khi đi cùng behavior anomaly."
categorical__txn_count_7d_group_11_20,txn_count_7d_group=11_20,-0.1234669209653406,0.1234669209653406,decrease_risk,Làm giảm log-odds fraud risk,Transaction velocity,Tốc độ/tần suất giao dịch gần đây của user.,"Velocity bất thường có thể hỗ trợ phát hiện fraud, nhưng cần kiểm tra cùng các tín hiệu khác.",Giai đoạn 3 khuyến nghị giữ txn_count_ratio_7d_30d như behavioral anomaly feature.
categorical__card_entry_mode_MAGSTRIPE,card_entry_mode=MAGSTRIPE,-0.1200502518527072,0.1200502518527072,decrease_risk,Làm giảm log-odds fraud risk,Payment / authentication context,"Ngữ cảnh thanh toán, xác thực, kênh giao dịch và phương thức nhập thẻ.","Một số kênh/xác thực làm tăng hoặc giảm risk tùy ngữ cảnh, nhưng thường không mạnh bằng behavioral anomaly.","Giai đoạn 3 cho thấy card_not_present đứng riêng không quá mạnh, nhưng có thể mạnh hơn khi đi cùng behavior anomaly."
categorical__day_name_Friday,day_name=Friday,-0.1188010834504846,0.1188010834504846,decrease_risk,Làm giảm log-odds fraud risk,Other context,Feature ngữ cảnh khác. Cần đọc cùng coefficient và metric validation/test.,Không có kỳ vọng hướng cố định.,Không thuộc nhóm insight chính hoặc chưa có bằng chứng mạnh từ giai đoạn 3.
categorical__txn_count_7d_group_gt_20,txn_count_7d_group=gt_20,-0.1181740090058793,0.1181740090058793,decrease_risk,Làm giảm log-odds fraud risk,Transaction velocity,Tốc độ/tần suất giao dịch gần đây của user.,"Velocity bất thường có thể hỗ trợ phát hiện fraud, nhưng cần kiểm tra cùng các tín hiệu khác.",Giai đoạn 3 khuyến nghị giữ txn_count_ratio_7d_30d như behavioral anomaly feature.
categorical__currency_CNY,currency=CNY,0.1173025768548238,0.1173025768548238,increase_risk,Làm tăng log-odds fraud risk,Payment / authentication context,"Ngữ cảnh thanh toán, xác thực, kênh giao dịch và phương thức nhập thẻ.","Một số kênh/xác thực làm tăng hoặc giảm risk tùy ngữ cảnh, nhưng thường không mạnh bằng behavioral anomaly.","Giai đoạn 3 cho thấy card_not_present đứng riêng không quá mạnh, nhưng có thể mạnh hơn khi đi cùng behavior anomaly."
categorical__auth_characteristics_CARD_PRESENT,auth_characteristics=CARD_PRESENT,-0.1171354952824469,0.1171354952824469,decrease_risk,Làm giảm log-odds fraud risk,Payment / authentication context,"Ngữ cảnh thanh toán, xác thực, kênh giao dịch và phương thức nhập thẻ.","Một số kênh/xác thực làm tăng hoặc giảm risk tùy ngữ cảnh, nhưng thường không mạnh bằng behavioral anomaly.","Giai đoạn 3 cho thấy card_not_present đứng riêng không quá mạnh, nhưng có thể mạnh hơn khi đi cùng behavior anomaly."
categorical__auth_characteristics_FORCE_POST,auth_characteristics=FORCE_POST,-0.1161099861074468,0.1161099861074468,decrease_risk,Làm giảm log-odds fraud risk,Payment / authentication context,"Ngữ cảnh thanh toán, xác thực, kênh giao dịch và phương thức nhập thẻ.","Một số kênh/xác thực làm tăng hoặc giảm risk tùy ngữ cảnh, nhưng thường không mạnh bằng behavioral anomaly.","Giai đoạn 3 cho thấy card_not_present đứng riêng không quá mạnh, nhưng có thể mạnh hơn khi đi cùng behavior anomaly."
categorical__merchant_country_SG,merchant_country=SG,-0.1154469578979478,0.1154469578979478,decrease_risk,Làm giảm log-odds fraud risk,Country / cross-border behavior,Hành vi giao dịch theo quốc gia và mức độ đa dạng quốc gia của user.,distinct_countries_30d cao thường giảm risk; low_country_diversity hoặc cross-border interaction có thể tăng risk.,Giai đoạn 3 cho thấy low_country_diversity là segment có lift cao.
categorical__payment_channel_MOBILE_APP,payment_channel=MOBILE_APP,-0.1136759657408016,0.1136759657408016,decrease_risk,Làm giảm log-odds fraud risk,Payment / authentication context,"Ngữ cảnh thanh toán, xác thực, kênh giao dịch và phương thức nhập thẻ.","Một số kênh/xác thực làm tăng hoặc giảm risk tùy ngữ cảnh, nhưng thường không mạnh bằng behavioral anomaly.","Giai đoạn 3 cho thấy card_not_present đứng riêng không quá mạnh, nhưng có thể mạnh hơn khi đi cùng behavior anomaly."
interaction__cross_border_x_low_country_diversity,cross_border_x_low_country_diversity,-0.1131983156248232,0.1131983156248232,decrease_risk,Làm giảm log-odds fraud risk,Country / cross-border behavior,Hành vi giao dịch theo quốc gia và mức độ đa dạng quốc gia của user.,distinct_countries_30d cao thường giảm risk; low_country_diversity hoặc cross-border interaction có thể tăng risk.,Giai đoạn 3 cho thấy low_country_diversity là segment có lift cao.
categorical__currency_EUR,currency=EUR,-0.1123838839820295,0.1123838839820295,decrease_risk,Làm giảm log-odds fraud risk,Payment / authentication context,"Ngữ cảnh thanh toán, xác thực, kênh giao dịch và phương thức nhập thẻ.","Một số kênh/xác thực làm tăng hoặc giảm risk tùy ngữ cảnh, nhưng thường không mạnh bằng behavioral anomaly.","Giai đoạn 3 cho thấy card_not_present đứng riêng không quá mạnh, nhưng có thể mạnh hơn khi đi cùng behavior anomaly."
categorical__term_location_ONLINE_PORTAL,term_location=ONLINE_PORTAL,-0.1111223011840139,0.1111223011840139,decrease_risk,Làm giảm log-odds fraud risk,Payment / authentication context,"Ngữ cảnh thanh toán, xác thực, kênh giao dịch và phương thức nhập thẻ.","Một số kênh/xác thực làm tăng hoặc giảm risk tùy ngữ cảnh, nhưng thường không mạnh bằng behavioral anomaly.","Giai đoạn 3 cho thấy card_not_present đứng riêng không quá mạnh, nhưng có thể mạnh hơn khi đi cùng behavior anomaly."
binary__low_spending_trend_flag,low_spending_trend_flag,0.1102138462447538,0.1102138462447538,increase_risk,Làm tăng log-odds fraud risk,Spending trend anomaly,Xu hướng chi tiêu thấp hoặc giảm có thể phản ánh hành vi bất thường khi kết hợp với các tín hiệu khác.,spending_trend cao thường giảm risk; low_spending_trend flag/interaction tăng risk.,Giai đoạn 3 cho thấy spending_trend thấp có lift ổn định.
categorical__currency_AUD,currency=AUD,0.1089737395355601,0.1089737395355601,increase_risk,Làm tăng log-odds fraud risk,Payment / authentication context,"Ngữ cảnh thanh toán, xác thực, kênh giao dịch và phương thức nhập thẻ.","Một số kênh/xác thực làm tăng hoặc giảm risk tùy ngữ cảnh, nhưng thường không mạnh bằng behavioral anomaly.","Giai đoạn 3 cho thấy card_not_present đứng riêng không quá mạnh, nhưng có thể mạnh hơn khi đi cùng behavior anomaly."
categorical__auth_result_AVS_FAIL,auth_result=AVS_FAIL,-0.108030036324185,0.108030036324185,decrease_risk,Làm giảm log-odds fraud risk,Payment / authentication context,"Ngữ cảnh thanh toán, xác thực, kênh giao dịch và phương thức nhập thẻ.","Một số kênh/xác thực làm tăng hoặc giảm risk tùy ngữ cảnh, nhưng thường không mạnh bằng behavioral anomaly.","Giai đoạn 3 cho thấy card_not_present đứng riêng không quá mạnh, nhưng có thể mạnh hơn khi đi cùng behavior anomaly."
categorical__term_location_POS_TERMINAL,term_location=POS_TERMINAL,-0.1071316218530928,0.1071316218530928,decrease_risk,Làm giảm log-odds fraud risk,Payment / authentication context,"Ngữ cảnh thanh toán, xác thực, kênh giao dịch và phương thức nhập thẻ.","Một số kênh/xác thực làm tăng hoặc giảm risk tùy ngữ cảnh, nhưng thường không mạnh bằng behavioral anomaly.","Giai đoạn 3 cho thấy card_not_present đứng riêng không quá mạnh, nhưng có thể mạnh hơn khi đi cùng behavior anomaly."
categorical__message_type_0100-AuthReq,message_type=0100-AuthReq,-0.1059601936336452,0.1059601936336452,decrease_risk,Làm giảm log-odds fraud risk,Payment / authentication context,"Ngữ cảnh thanh toán, xác thực, kênh giao dịch và phương thức nhập thẻ.","Một số kênh/xác thực làm tăng hoặc giảm risk tùy ngữ cảnh, nhưng thường không mạnh bằng behavioral anomaly.","Giai đoạn 3 cho thấy card_not_present đứng riêng không quá mạnh, nhưng có thể mạnh hơn khi đi cùng behavior anomaly."
categorical__merchant_country_ID,merchant_country=ID,-0.1041401997225148,0.1041401997225148,decrease_risk,Làm giảm log-odds fraud risk,Country / cross-border behavior,Hành vi giao dịch theo quốc gia và mức độ đa dạng quốc gia của user.,distinct_countries_30d cao thường giảm risk; low_country_diversity hoặc cross-border interaction có thể tăng risk.,Giai đoạn 3 cho thấy low_country_diversity là segment có lift cao.
categorical__decline_rate_risk_group_infrequent_sklearn,decline_rate_risk_group=infrequent_sklearn,-0.1040227065340144,0.1040227065340144,decrease_risk,Làm giảm log-odds fraud risk,Risk history / technical risk,"Các tín hiệu lịch sử rủi ro hoặc tín hiệu kỹ thuật như IP risk, decline rate, chargeback.","Một số tín hiệu kỹ thuật đứng riêng có thể yếu, nhưng vẫn hỗ trợ model khi kết hợp với feature khác.",Giai đoạn 3 cho thấy một số biến kỹ thuật đứng riêng không mạnh bằng behavior interaction.
categorical__payment_channel_API_SERVER,payment_channel=API_SERVER,-0.1035389029588209,0.1035389029588209,decrease_risk,Làm giảm log-odds fraud risk,Payment / authentication context,"Ngữ cảnh thanh toán, xác thực, kênh giao dịch và phương thức nhập thẻ.","Một số kênh/xác thực làm tăng hoặc giảm risk tùy ngữ cảnh, nhưng thường không mạnh bằng behavioral anomaly.","Giai đoạn 3 cho thấy card_not_present đứng riêng không quá mạnh, nhưng có thể mạnh hơn khi đi cùng behavior anomaly."
categorical__message_type_0400-Reversal,message_type=0400-Reversal,-0.1033445499512888,0.1033445499512888,decrease_risk,Làm giảm log-odds fraud risk,Payment / authentication context,"Ngữ cảnh thanh toán, xác thực, kênh giao dịch và phương thức nhập thẻ.","Một số kênh/xác thực làm tăng hoặc giảm risk tùy ngữ cảnh, nhưng thường không mạnh bằng behavioral anomaly.","Giai đoạn 3 cho thấy card_not_present đứng riêng không quá mạnh, nhưng có thể mạnh hơn khi đi cùng behavior anomaly."
numeric__night_unusual_score,night_unusual_score,0.1032182450542474,0.1032182450542474,increase_risk,Làm tăng log-odds fraud risk,Time behavior anomaly,"Hành vi giao dịch theo thời gian, đặc biệt là giao dịch ban đêm so với lịch sử của user.",night_ratio_30d cao thường giảm risk vì user quen giao dịch ban đêm; night transaction hoặc low_night_ratio interaction có thể tăng risk.,Giai đoạn 3 cho thấy low_night_ratio và night_unusual có lift cao trên train và validation.
numeric__txn_count_30d,txn_count_30d,-0.1030036700108121,0.1030036700108121,decrease_risk,Làm giảm log-odds fraud risk,Transaction velocity,Tốc độ/tần suất giao dịch gần đây của user.,"Velocity bất thường có thể hỗ trợ phát hiện fraud, nhưng cần kiểm tra cùng các tín hiệu khác.",Giai đoạn 3 khuyến nghị giữ txn_count_ratio_7d_30d như behavioral anomaly feature.
categorical__pin_verif_method_NONE,pin_verif_method=NONE,-0.1027958997940219,0.1027958997940219,decrease_risk,Làm giảm log-odds fraud risk,Payment / authentication context,"Ngữ cảnh thanh toán, xác thực, kênh giao dịch và phương thức nhập thẻ.","Một số kênh/xác thực làm tăng hoặc giảm risk tùy ngữ cảnh, nhưng thường không mạnh bằng behavioral anomaly.","Giai đoạn 3 cho thấy card_not_present đứng riêng không quá mạnh, nhưng có thể mạnh hơn khi đi cùng behavior anomaly."
categorical__night_ratio_group_infrequent_sklearn,night_ratio_group=infrequent_sklearn,-0.100531085083621,0.100531085083621,decrease_risk,Làm giảm log-odds fraud risk,Time behavior anomaly,"Hành vi giao dịch theo thời gian, đặc biệt là giao dịch ban đêm so với lịch sử của user.",night_ratio_30d cao thường giảm risk vì user quen giao dịch ban đêm; night transaction hoặc low_night_ratio interaction có thể tăng risk.,Giai đoạn 3 cho thấy low_night_ratio và night_unusual có lift cao trên train và validation.
categorical__txn_velocity_group_high,txn_velocity_group=high,0.093631574002454,0.093631574002454,increase_risk,Làm tăng log-odds fraud risk,Transaction velocity,Tốc độ/tần suất giao dịch gần đây của user.,"Velocity bất thường có thể hỗ trợ phát hiện fraud, nhưng cần kiểm tra cùng các tín hiệu khác.",Giai đoạn 3 khuyến nghị giữ txn_count_ratio_7d_30d như behavioral anomaly feature.
categorical__auth_result_BIOMETRIC_FAIL,auth_result=BIOMETRIC_FAIL,-0.093273987942976,0.093273987942976,decrease_risk,Làm giảm log-odds fraud risk,Payment / authentication context,"Ngữ cảnh thanh toán, xác thực, kênh giao dịch và phương thức nhập thẻ.","Một số kênh/xác thực làm tăng hoặc giảm risk tùy ngữ cảnh, nhưng thường không mạnh bằng behavioral anomaly.","Giai đoạn 3 cho thấy card_not_present đứng riêng không quá mạnh, nhưng có thể mạnh hơn khi đi cùng behavior anomaly."
numeric__txn_count_7d,txn_count_7d,0.0931672475247043,0.0931672475247043,increase_risk,Làm tăng log-odds fraud risk,Transaction velocity,Tốc độ/tần suất giao dịch gần đây của user.,"Velocity bất thường có thể hỗ trợ phát hiện fraud, nhưng cần kiểm tra cùng các tín hiệu khác.",Giai đoạn 3 khuyến nghị giữ txn_count_ratio_7d_30d như behavioral anomaly feature.
categorical__pin_verif_method_OFFLINE_PIN,pin_verif_method=OFFLINE_PIN,-0.0931198950590459,0.0931198950590459,decrease_risk,Làm giảm log-odds fraud risk,Payment / authentication context,"Ngữ cảnh thanh toán, xác thực, kênh giao dịch và phương thức nhập thẻ.","Một số kênh/xác thực làm tăng hoặc giảm risk tùy ngữ cảnh, nhưng thường không mạnh bằng behavioral anomaly.","Giai đoạn 3 cho thấy card_not_present đứng riêng không quá mạnh, nhưng có thể mạnh hơn khi đi cùng behavior anomaly."
categorical__term_location_MOBILE_APP,term_location=MOBILE_APP,-0.0930899449197683,0.0930899449197683,decrease_risk,Làm giảm log-odds fraud risk,Payment / authentication context,"Ngữ cảnh thanh toán, xác thực, kênh giao dịch và phương thức nhập thẻ.","Một số kênh/xác thực làm tăng hoặc giảm risk tùy ngữ cảnh, nhưng thường không mạnh bằng behavioral anomaly.","Giai đoạn 3 cho thấy card_not_present đứng riêng không quá mạnh, nhưng có thể mạnh hơn khi đi cùng behavior anomaly."
numeric__credit_util_today,credit_util_today,-0.0930444494198338,0.0930444494198338,decrease_risk,Làm giảm log-odds fraud risk,Risk history / technical risk,"Các tín hiệu lịch sử rủi ro hoặc tín hiệu kỹ thuật như IP risk, decline rate, chargeback.","Một số tín hiệu kỹ thuật đứng riêng có thể yếu, nhưng vẫn hỗ trợ model khi kết hợp với feature khác.",Giai đoạn 3 cho thấy một số biến kỹ thuật đứng riêng không mạnh bằng behavior interaction.
categorical__merchant_country_PH,merchant_country=PH,0.0924824228934144,0.0924824228934144,increase_risk,Làm tăng log-odds fraud risk,Country / cross-border behavior,Hành vi giao dịch theo quốc gia và mức độ đa dạng quốc gia của user.,distinct_countries_30d cao thường giảm risk; low_country_diversity hoặc cross-border interaction có thể tăng risk.,Giai đoạn 3 cho thấy low_country_diversity là segment có lift cao.
categorical__merchant_country_GB,merchant_country=GB,-0.0896480333694814,0.0896480333694814,decrease_risk,Làm giảm log-odds fraud risk,Country / cross-border behavior,Hành vi giao dịch theo quốc gia và mức độ đa dạng quốc gia của user.,distinct_countries_30d cao thường giảm risk; low_country_diversity hoặc cross-border interaction có thể tăng risk.,Giai đoạn 3 cho thấy low_country_diversity là segment có lift cao.
categorical__payment_channel_POS_TERMINAL,payment_channel=POS_TERMINAL,-0.0895944122199998,0.0895944122199998,decrease_risk,Làm giảm log-odds fraud risk,Payment / authentication context,"Ngữ cảnh thanh toán, xác thực, kênh giao dịch và phương thức nhập thẻ.","Một số kênh/xác thực làm tăng hoặc giảm risk tùy ngữ cảnh, nhưng thường không mạnh bằng behavioral anomaly.","Giai đoạn 3 cho thấy card_not_present đứng riêng không quá mạnh, nhưng có thể mạnh hơn khi đi cùng behavior anomaly."
categorical__currency_GBP,currency=GBP,-0.0891675633071604,0.0891675633071604,decrease_risk,Làm giảm log-odds fraud risk,Payment / authentication context,"Ngữ cảnh thanh toán, xác thực, kênh giao dịch và phương thức nhập thẻ.","Một số kênh/xác thực làm tăng hoặc giảm risk tùy ngữ cảnh, nhưng thường không mạnh bằng behavioral anomaly.","Giai đoạn 3 cho thấy card_not_present đứng riêng không quá mạnh, nhưng có thể mạnh hơn khi đi cùng behavior anomaly."
categorical__card_entry_mode_TOKEN_IN_APP,card_entry_mode=TOKEN_IN_APP,-0.0880125453565677,0.0880125453565677,decrease_risk,Làm giảm log-odds fraud risk,Payment / authentication context,"Ngữ cảnh thanh toán, xác thực, kênh giao dịch và phương thức nhập thẻ.","Một số kênh/xác thực làm tăng hoặc giảm risk tùy ngữ cảnh, nhưng thường không mạnh bằng behavioral anomaly.","Giai đoạn 3 cho thấy card_not_present đứng riêng không quá mạnh, nhưng có thể mạnh hơn khi đi cùng behavior anomaly."
categorical__currency_CHF,currency=CHF,0.0873616565889652,0.0873616565889652,increase_risk,Làm tăng log-odds fraud risk,Payment / authentication context,"Ngữ cảnh thanh toán, xác thực, kênh giao dịch và phương thức nhập thẻ.","Một số kênh/xác thực làm tăng hoặc giảm risk tùy ngữ cảnh, nhưng thường không mạnh bằng behavioral anomaly.","Giai đoạn 3 cho thấy card_not_present đứng riêng không quá mạnh, nhưng có thể mạnh hơn khi đi cùng behavior anomaly."
categorical__merchant_country_CN,merchant_country=CN,0.0862483467583138,0.0862483467583138,increase_risk,Làm tăng log-odds fraud risk,Country / cross-border behavior,Hành vi giao dịch theo quốc gia và mức độ đa dạng quốc gia của user.,distinct_countries_30d cao thường giảm risk; low_country_diversity hoặc cross-border interaction có thể tăng risk.,Giai đoạn 3 cho thấy low_country_diversity là segment có lift cao.
categorical__merchant_country_AU,merchant_country=AU,-0.0848652245011933,0.0848652245011933,decrease_risk,Làm giảm log-odds fraud risk,Country / cross-border behavior,Hành vi giao dịch theo quốc gia và mức độ đa dạng quốc gia của user.,distinct_countries_30d cao thường giảm risk; low_country_diversity hoặc cross-border interaction có thể tăng risk.,Giai đoạn 3 cho thấy low_country_diversity là segment có lift cao.
categorical__auth_characteristics_FALLBACK_MAG,auth_characteristics=FALLBACK_MAG,-0.0833113961811204,0.0833113961811204,decrease_risk,Làm giảm log-odds fraud risk,Payment / authentication context,"Ngữ cảnh thanh toán, xác thực, kênh giao dịch và phương thức nhập thẻ.","Một số kênh/xác thực làm tăng hoặc giảm risk tùy ngữ cảnh, nhưng thường không mạnh bằng behavioral anomaly.","Giai đoạn 3 cho thấy card_not_present đứng riêng không quá mạnh, nhưng có thể mạnh hơn khi đi cùng behavior anomaly."
categorical__ip_score_risk_group_very_high,ip_score_risk_group=very_high,0.0816170791046089,0.0816170791046089,increase_risk,Làm tăng log-odds fraud risk,Risk history / technical risk,"Các tín hiệu lịch sử rủi ro hoặc tín hiệu kỹ thuật như IP risk, decline rate, chargeback.","Một số tín hiệu kỹ thuật đứng riêng có thể yếu, nhưng vẫn hỗ trợ model khi kết hợp với feature khác.",Giai đoạn 3 cho thấy một số biến kỹ thuật đứng riêng không mạnh bằng behavior interaction.
categorical__payment_channel_IVR_PHONE,payment_channel=IVR_PHONE,-0.0811947068000203,0.0811947068000203,decrease_risk,Làm giảm log-odds fraud risk,Payment / authentication context,"Ngữ cảnh thanh toán, xác thực, kênh giao dịch và phương thức nhập thẻ.","Một số kênh/xác thực làm tăng hoặc giảm risk tùy ngữ cảnh, nhưng thường không mạnh bằng behavioral anomaly.","Giai đoạn 3 cho thấy card_not_present đứng riêng không quá mạnh, nhưng có thể mạnh hơn khi đi cùng behavior anomaly."
categorical__auth_result_3DS_PASS,auth_result=3DS_PASS,-0.0786919518568651,0.0786919518568651,decrease_risk,Làm giảm log-odds fraud risk,Payment / authentication context,"Ngữ cảnh thanh toán, xác thực, kênh giao dịch và phương thức nhập thẻ.","Một số kênh/xác thực làm tăng hoặc giảm risk tùy ngữ cảnh, nhưng thường không mạnh bằng behavioral anomaly.","Giai đoạn 3 cho thấy card_not_present đứng riêng không quá mạnh, nhưng có thể mạnh hơn khi đi cùng behavior anomaly."
